-0,000	114375,000
2,000	111950,000
4,000	114385,000
6,000	112950,000
8,000	114330,000
10,000	114670,000
12,000	114565,000
14,000	115505,000
16,000	115580,000
18,000	114690,000
20,000	112510,000
22,000	100635,000
24,000	69825,000
26,000	31580,000
28,000	10720,000
30,000	5875,000
32,000	4815,000
34,000	4480,000
36,000	4580,000
38,000	4075,000
40,000	3995,000
42,000	4105,000
44,000	3900,000
46,000	3595,000
48,000	3640,000
50,000	3245,000
52,000	3115,000
54,000	2970,000
56,000	3065,000
58,000	2810,000
60,000	2675,000
62,000	2425,000
64,000	2455,000
66,000	2110,000
68,000	1985,000
70,000	1785,000
72,000	1615,000
74,000	1745,000
76,000	1670,000
78,000	1275,000
80,000	870,000
82,000	600,000
84,000	465,000
86,000	365,000
88,000	305,000
90,000	275,000
92,000	330,000
94,000	320,000
96,000	275,000
98,000	190,000
100,000	195,000
102,000	110,000
104,000	125,000
106,000	70,000
108,000	90,000
110,000	85,000
112,000	70,000
114,000	65,000
116,000	40,000
118,000	35,000
120,000	55,000
122,000	50,000
124,000	15,000
126,000	60,000
128,000	30,000
130,000	50,000
